"code";"text";"pt3";"pos"
"9265";"DIM 205/60-16";"DIM 205/60-16";""
"9266";"DIM 205/65-16";"DIM 205/65-16";""
"9267";"DIM 255/60-17";"DIM 255/60-17";""
"9268";"DIM 185/75-16";"DIM 185/75-16";""
"9269";"DIM 165/80-13";"DIM 165/80-13";""
"9270";"DIM 135/70-13";"DIM 135/70-13";""
"9271";"DIM 185/55-13";"DIM 185/55-13";""
"9272";"DIM 245/45-16";"DIM 245/45-16";""
"9273";"DIM 215/40-16";"DIM 215/40-16";""
"9274";"DIM 225/40-16";"DIM 225/40-16";""
"9275";"DIM 255/35-19";"DIM 255/35-19";""
"9276";"DIM 235/50-18";"DIM 235/50-18";""
"9277";"DIM 205/80-16";"DIM 205/80-16";""
"9278";"DIM 275/70-16";"DIM 275/70-16";""
"9279";"DIM 215/70-15";"DIM 215/70-15";""
"9280";"DIM 255/65-16";"DIM 255/65-16";""
"9281";"DIM 215/70-16";"DIM 215/70-16";""
"9282";"DIM 235/60-17";"DIM 235/60-17";""
"9283";"DIM 245/55-17";"DIM 245/55-17";""
"9284";"DIM 275/40-20";"DIM 275/40-20";""
"9285";"DIM 225/55-17";"DIM 225/55-17";""
"9286";"DIM 175/65-15";"DIM 175/65-15";""
"9287";"DIM 215/40-18";"DIM 215/40-18";""
"9288";"DIM 255/45-17";"DIM 255/45-17";""
"9289";"DIM 235/55-17";"DIM 235/55-17";""
"9290";"DIM 175/65-14C";"DIM 175/65-14C";""
"9291";"DIM 175/60-15";"DIM 175/60-15";""
"9292";"DIM 195/45-16";"DIM 195/45-16";""
"9293";"DIM 225/75-16";"DIM 225/75-16";""
"9294";"DIM 215/45-18";"DIM 215/45-18";""
"9295";"DIM 165/60-14";"DIM 165/60-14";""
"9296";"DIM 205/45-17";"DIM 205/45-17";""
"9297";"DIM 195/45-17";"DIM 195/45-17";""
"9298";"DIM 215/75-14";"DIM 215/75-14";""
"9299";"DIM 195-15";"DIM 195-15";""
"9300";"DIM 165/60-13";"DIM 165/60-13";""
"9301";"DIM 225/60-18";"DIM 225/60-18";""
"9302";"DIM 225/60-17";"DIM 225/60-17";""
"9303";"DIM 245/35-19";"DIM 245/35-19";""
"9304";"DIM 245/40-18";"DIM 245/40-18";""
"9305";"DIM 245/65-17";"DIM 245/65-17";""
"9306";"DIM 235/60-18";"DIM 235/60-18";""
"9307";"DIM 215/60-17";"DIM 215/60-17";""
"9308";"DIM 245/75-16";"DIM 245/75-16";""
"9309";"DIM 255/40-16";"DIM 255/40-16";""
"9310";"DIM 215/55-18";"DIM 215/55-18";""
"9311";"DIM 225/45-18";"DIM 225/45-18";""
"9312";"DIM 255/70-16";"DIM 255/70-16";""
"9313";"DIM 235/35-19";"DIM 235/35-19";""
"9314";"DIM 235/65-16C";"DIM 235/65-16C";""
"9315";"DIM 255/40-18";"DIM 255/40-18";""
"9316";"DIM 255/65-17";"DIM 255/65-17";""
"9317";"DIM 235/45-18";"DIM 235/45-18";""
"9318";"DIM 285/35-19";"DIM 285/35-19";""
"9319";"DIM 275/40-18";"DIM 275/40-18";""
"9320";"DIM 245/60-18";"DIM 245/60-18";""
"9321";"DIM 265/70-16";"DIM 265/70-16";""
"9322";"DIM 255/40-20";"DIM 255/40-20";""
"9323";"DIM 275/40-17";"DIM 275/40-17";""
"9324";"DIM 255/75-15";"DIM 255/75-15";""
"9325";"DIM 255/70-15";"DIM 255/70-15";""
"9326";"DIM 245/45-17";"DIM 245/45-17";""
"9327";"DIM 225/65-17";"DIM 225/65-17";""
"9328";"DIM 235/35-20";"DIM 235/35-20";""
"9329";"DIM 245/40-17";"DIM 245/40-17";""
"9330";"DIM 225/45-19";"DIM 225/45-19";""
"9331";"DIM 255/60-18";"DIM 255/60-18";""
"9332";"DIM 265/65-17";"DIM 265/65-17";""
"9333";"DIM 185/50-16";"DIM 185/50-16";""
"9334";"DIM 265/60-18";"DIM 265/60-18";""
"9335";"DIM 225/35-19";"DIM 225/35-19";""
"9336";"DIM 225/65-18";"DIM 225/65-18";""
"9337";"DIM 225/55-18";"DIM 225/55-18";""
"9338";"DIM 255/45-20";"DIM 255/45-20";""
"9339";"DIM 235/65-18";"DIM 235/65-18";""
"9340";"DIM 275/55-17";"DIM 275/55-17";""
"9341";"DIM 255/50-19";"DIM 255/50-19";""
"9342";"DIM 255/40-19";"DIM 255/40-19";""
"9343";"DIM 235/55-19";"DIM 235/55-19";""
"9344";"DIM 205/55-17";"DIM 205/55-17";""
"9345";"DIM 215/45-16";"DIM 215/45-16";""
"9346";"DIM 175/50-15";"DIM 175/50-15";""
"9347";"DIM 205/65-16C";"DIM 205/65-16C";""
"9348";"DIM 215/65-16C";"DIM 215/65-16C";""
"9349";"DIM 235/40-19";"DIM 235/40-19";""
"9350";"DIM 125/70-19";"DIM 125/70-19";""
"9351";"DIM 135/70-15";"DIM 135/70-15";""
"9352";"DIM 145/55-15";"DIM 145/55-15";""
"9353";"DIM 145/60-20";"DIM 145/60-20";""
"9354";"DIM 145/65-15";"DIM 145/65-15";""
"9355";"DIM 145/80-19";"DIM 145/80-19";""
"9356";"DIM 155/60-15";"DIM 155/60-15";""
"9357";"DIM 155/70-14";"DIM 155/70-14";""
"9358";"DIM 155/70-19";"DIM 155/70-19";""
"9359";"DIM 155/80-19";"DIM 155/80-19";""
"9360";"DIM 165/60-15";"DIM 165/60-15";""
"9361";"DIM 165/60-20";"DIM 165/60-20";""
"9362";"DIM 165/65-15";"DIM 165/65-15";""
"9363";"DIM 165/80-15";"DIM 165/80-15";""
"9364";"DIM 175/55-15";"DIM 175/55-15";""
"9365";"DIM 175/60-14";"DIM 175/60-14";""
"9366";"DIM 175/75-16";"DIM 175/75-16";""
"9367";"DIM 175/80-14";"DIM 175/80-14";""
"9368";"DIM 175/80-19";"DIM 175/80-19";""
"9369";"DIM 185/55-16";"DIM 185/55-16";""
"9370";"DIM 195/40-14";"DIM 195/40-14";""
"9371";"DIM 195/40-17";"DIM 195/40-17";""
"9372";"DIM 195/45-15";"DIM 195/45-15";""
"9373";"DIM 195/55-20";"DIM 195/55-20";""
"9374";"DIM 195/80-15";"DIM 195/80-15";""
"9375";"DIM 215/50-18";"DIM 215/50-18";""
"9376";"DIM 225/35-20";"DIM 225/35-20";""
"9377";"DIM 225/40-19";"DIM 225/40-19";""
"9378";"DIM 225/50-18";"DIM 225/50-18";""
"9379";"DIM 225/55-19";"DIM 225/55-19";""
"9380";"DIM 235/30-20";"DIM 235/30-20";""
"9381";"DIM 235/40-20";"DIM 235/40-20";""
"9382";"DIM 235/45-19";"DIM 235/45-19";""
"9383";"DIM 235/45-20";"DIM 235/45-20";""
"9384";"DIM 235/50-17";"DIM 235/50-17";""
"9385";"DIM 235/50-19";"DIM 235/50-19";""
"9386";"DIM 235/55-20";"DIM 235/55-20";""
"9387";"DIM 235/60-20";"DIM 235/60-20";""
"9388";"DIM 235/65-19";"DIM 235/65-19";""
"9389";"DIM 235/70-15";"DIM 235/70-15";""
"9390";"DIM 235/70-17";"DIM 235/70-17";""
"9391";"DIM 235/75-16";"DIM 235/75-16";""
"9392";"DIM 245/30-20";"DIM 245/30-20";""
"9393";"DIM 245/30-21";"DIM 245/30-21";""
"9394";"DIM 245/35-18";"DIM 245/35-18";""
"9395";"DIM 245/35-20";"DIM 245/35-20";""
"9396";"DIM 245/35-21";"DIM 245/35-21";""
"9397";"DIM 245/40-19";"DIM 245/40-19";""
"9398";"DIM 245/40-20";"DIM 245/40-20";""
"9399";"DIM 245/45-19";"DIM 245/45-19";""
"9400";"DIM 245/45-20";"DIM 245/45-20";""
"9401";"DIM 245/50-18";"DIM 245/50-18";""
"9402";"DIM 245/50-20";"DIM 245/50-20";""
"9403";"DIM 245/55-19";"DIM 245/55-19";""
"9404";"DIM 255/30-19";"DIM 255/30-19";""
"9405";"DIM 255/30-20";"DIM 255/30-20";""
"9406";"DIM 255/30-21";"DIM 255/30-21";""
"9407";"DIM 255/35-20";"DIM 255/35-20";""
"9408";"DIM 255/35-21";"DIM 255/35-21";""
"9409";"DIM 255/40-17";"DIM 255/40-17";""
"9410";"DIM 255/40-21";"DIM 255/40-21";""
"9411";"DIM 255/45-19";"DIM 255/45-19";""
"9412";"DIM 255/50-20";"DIM 255/50-20";""
"9413";"DIM 255/55-17";"DIM 255/55-17";""
"9414";"DIM 255/55-19";"DIM 255/55-19";""
"9415";"DIM 255/55-20";"DIM 255/55-20";""
"9416";"DIM 265/30-19";"DIM 265/30-19";""
"9417";"DIM 265/30-20";"DIM 265/30-20";""
"9418";"DIM 265/30-21";"DIM 265/30-21";""
"9419";"DIM 265/30-22";"DIM 265/30-22";""
"9420";"DIM 265/35-19";"DIM 265/35-19";""
"9421";"DIM 265/35-20";"DIM 265/35-20";""
"9422";"DIM 265/35-21";"DIM 265/35-21";""
"9423";"DIM 265/35-22";"DIM 265/35-22";""
"9424";"DIM 265/40-18";"DIM 265/40-18";""
"9425";"DIM 265/40-20";"DIM 265/40-20";""
"9426";"DIM 265/40-21";"DIM 265/40-21";""
"9427";"DIM 265/40-22";"DIM 265/40-22";""
"9428";"DIM 265/45-19";"DIM 265/45-19";""
"9429";"DIM 265/45-20";"DIM 265/45-20";""
"9430";"DIM 265/50-19";"DIM 265/50-19";""
"9431";"DIM 265/50-20";"DIM 265/50-20";""
"9432";"DIM 275/30-19";"DIM 275/30-19";""
"9433";"DIM 275/30-20";"DIM 275/30-20";""
"9434";"DIM 275/30-21";"DIM 275/30-21";""
"9435";"DIM 275/35-18";"DIM 275/35-18";""
"9436";"DIM 275/35-19";"DIM 275/35-19";""
"9437";"DIM 275/35-20";"DIM 275/35-20";""
"9438";"DIM 275/35-21";"DIM 275/35-21";""
"9439";"DIM 275/35-22";"DIM 275/35-22";""
"9440";"DIM 275/40-19";"DIM 275/40-19";""
"9441";"DIM 275/40-21";"DIM 275/40-21";""
"9442";"DIM 275/40-22";"DIM 275/40-22";""
"9443";"DIM 275/45-18";"DIM 275/45-18";""
"9444";"DIM 275/45-19";"DIM 275/45-19";""
"9445";"DIM 275/45-20";"DIM 275/45-20";""
"9446";"DIM 275/45-21";"DIM 275/45-21";""
"9447";"DIM 275/50-19";"DIM 275/50-19";""
"9448";"DIM 275/50-20";"DIM 275/50-20";""
"9449";"DIM 275/55-19";"DIM 275/55-19";""
"9450";"AVGASPORT REGLERENHET SNÖSKOTER";"Avgasport reglerenhet";""
"9451";"BACKLARM MC/SNÖS.";"Backlarm";""
"9452";"BACKVÄXEL SNÖSKOTER";"Backväxel";""
"9453";"BUKSKYDD SNÖSKOTER";"Balja";""
"9454";"BOGGIE SNÖSKOTER";"Boggie";""
"9455";"BOGGIEDETALJER ÖVRIGT SNÖSKOTER";"Boggiedetaljer Övrigt";""
"9456";"BOGGIEHJUL/AXEL SNÖSKOTER";"Boggiehjul / Axel";""
"9457";"BROMSOK SNÖSKOTER";"Bromsok Snöskoter";""
"9458";"BROMSSKIVA SNÖSKOTER";"Bromsskiva Snöskoter";""
"9459";"CYLINDER/KOLV MC/SNÖS.";"Cylinder / Kolv";""
"9460";"DREV MC/SNÖS.";"Drev";""
"9461";"DRIVHJUL SNÖSKOTER";"Drivhjul";""
"9462";"FOTSTEGSFÖRSTÄRKNING SNÖSKOTER";"Fotstegsförstärkning";""
"9463";"FÄSTE STYRE MC/SNÖS.";"Fäste styre";""
"9464";"HANDTAGSVÄRMARE MC/SNÖS.";"Handtagsvärmare";""
"9465";"STRÖMST. HANDTAGSVÄRMARE SNÖSKOTER";"Strömställare handtagsvärmare";""
"9466";"INDIKERINGSLAMPA MC/SNÖS.";"Indikeringslampa";""
"9467";"INSUGSLJUDDÄMPARE MC/SNÖS.";"Insugsljuddämpare";""
"9468";"HUV SNÖSKOTER";"Huv Skoter";""
"9469";"LUFTINTAG MC/SNÖS.";"Luftintag";""
"9470";"LUFTPUMP FJÄDRING MC/SNÖS.";"Luftpump fjädring";""
"9471";"MAGNAPULL/STARTAPPARAT SNÖSKOTER";"Magnapull / Startapparat";""
"9472";"NÖDSTOPP SNÖSKOTER";"Nödstopp";""
"9473";"STRÖMSTÄLLARE NÖDSTOPP SNÖSKOTER";"Strömställare nödstopp";""
"9474";"OLJETANK MC/SNÖS.";"Oljetank";""
"9475";"PRIMER PUMP SNÖSKOTER";"Primer pump";""
"9476";"REEDVENTIL MC/SNÖS.";"Reedventil";""
"9477";"REFLEX/SIDOMARKERING MC/SNÖS.";"Reflex / Sidomarkering";""
"9478";"RYGGSTÖD/SISSYBAR MC/SNÖS.";"Ryggstöd / Sissybar";""
"9479";"SIDOKÅPA VÄ SNÖSKOTER";"Sidokåpa vä";""
"9480";"SIDOKÅPA HÖ SNÖSKOTER";"Sidokåpa Hö";""
"9481";"SKIDA VÄ SNÖSKOTER";"Skida Vä";""
"9482";"SKIDA HÖ SNÖSKOTER";"Skida Hö";""
"9483";"SLIDES/ SLIDESSKENA SNÖSKOTER";"Slides / Slidesskena";""
"9484";"STRÅLKASTARSARG / KÅPA MC/SNÖS.";"Strålkastarsarg / Kåpa";""
"9485";"STYRBEKLÄDNAD SNÖSKOTER";"Styrbeklädnad";""
"9486";"STYRDAMASK SNÖSKOTER";"Styrdamask";""
"9487";"STYRFÖRHÖJARE MC/SNÖS.";"Styrförhöjare";""
"9488";"STYRHOOK SNÖSKOTER";"Styrhook";""
"9489";"STYRSTÅL SNÖSKOTER";"Styrstål";""
"9490";"STYRSTÅNG SNÖSKOTER";"Styrstång";""
"9491";"STYRSTÅNGSHÅLLARE SNÖSKOTER";"Styrstångshållare";""
"9492";"TÄNDPLATTA MC/SNÖS.";"Tändplatta";""
"9493";"VARIATOR PRIMÄR SNÖSKOTER";"Variator primär";""
"9494";"VARIATOR SEKUNDÄR SNÖSKOTER";"Variator sekundär";""
"9495";"VARIATORSKYDD SNÖSKOTER";"Variatorskydd";""
"9496";"CENTRALLÅS MOTOR MC";"Centrallås Motor MC";""
"9497";"CENTRALLÅS ÖVRIGT MC";"Centrallås Övrigt MC";""
"9499";"SNÖSKOTER DELAR ÖVRIGT";"Snöskoter delar övrigt";""
"9500";"MC DELAR ÖVRIGT";"Other ";""
"9501";"STYRE KOMPL MC/SNÖS.";"Handle bars Compl";""
"9502";"HANDTAGSSKYDD MC/SNÖS.";"Handtagsskydd MC/Snöskoter";""
"9503";"STYRE VÄ MC";"Handle bars Left";""
"9504";"STYRE HÖ MC";"Handle bars Right";""
"9505";"EL REGLAGE VÄ MC/SNÖS.";"El Regulator Left";""
"9506";"EL REGLAGE HÖ MC/SNÖS.";"El Regulator Right";""
"9507";"HANDTAGSHUS VÄ MC";"Handle housing Left";""
"9508";"HANDTAGSHUS HÖ MC";"Handle housing Right";""
"9509";"GASHANDTAG MC/SNÖS.";"Gas handle";""
"9510";"KOPPLINGSHANDTAG MC/SNÖS.";"Clutch handle";""
"9511";"BROMSHANDTAG MC/SNÖS.";"Brake handle";""
"9512";"STYRVIKTER MC";"Handle bar weights";""
"9513";"STARTKNAPP MC";"Start button";""
"9514";"AIRBAG MC";"Airbag MC";""
"9515";"AIRBAG SENSOR MC";"Airbag Sensor MC";""
"9517";"FÖRGASARE/BRYGGA MC/SNÖS.";"Förgasare/Brygga MC";""
"9520";"TANKKÅPA MC/SNÖS.";"Tankkåpa MC/Snöskoter";""
"9521";"KÅPA FRONT MC";"Cover Front";""
"9522";"VISIR/TOPPKÅPA MC";"Visor / Top cover";""
"9523";"KÅPA FRAM VÄ MC";"Cover front left";""
"9524";"KÅPA FRAM HÖ MC";"Cover front right";""
"9525";"KÅPSTÄLLNING MC";"Cover positioning";""
"9526";"KÅPA BAKRE MC";"Cover rear";""
"9527";"KÅPA BAKRE VÄ MC";"Cover rear left";""
"9528";"KÅPA BAKRE HÖ MC";"Cover rear right";""
"9529";"KÅPSPOILER MC";"Cover spoiler";""
"9530";"KÅPSPOILER FRÄMRE MC";"Cover spoiler front";""
"9531";"KÅPSPOILER VÄ MC";"Cover spoiler left";""
"9532";"KÅPSPOILER HÖ MC";"Cover spoiler right";""
"9535";"FRAMSKÄRM KOMPL MC";"Front mud guard compl.";""
"9536";"FRAMSKÄRM FRÄMRE MC";"Front mud guard front";""
"9537";"FRAMSKÄRM BAKRE MC";"Mud guard Rear";""
"9538";"FRAMSKÄRMSTAG MC";"Mud guard brace";""
"9545";"BAKSKÄRM KOMPL MC";"Rear mud guard compl.";""
"9546";"BAKSKÄRM FRÄMRE MC";"Rear mud guard front";""
"9547";"BAKSKÄRM BAKRE MC";"Rear mud guard rear";""
"9548";"BAKSKÄRMSTAG MC";"Rear mud guard brace";""
"9549";"CHASSI STAG ÖVRIGT";"Chassi Stag Övrigt MC/Snöskoter";""
"9550";"LYFTBÅGE BAK SNÖSKOTER";"Lyftbåge Bak MC/Snöskoter";""
"9555";"PAKETHÅLLARE MC/SNÖS.";"Package rack";""
"9556";"PACKVÄSKA/HÅLLARE VÄ MC";"Package Rack Left";""
"9557";"PACKVÄSKA/HÅLLARE HÖ MC";"Package Rack Right";""
"9558";"PACKVÄSKA / TOPPBOX SEP. MC";"Top box / Case";""
"9560";"SADEL/DYNA MC/SNÖS.";"Saddle ";""
"9561";"SADEL FRÄMRE MC";"Saddle front";""
"9562";"SADEL BAKRE MC";"Saddle rear";""
"9563";"SADELBÅGE/HÅLLARE MC/SNÖS.";"Saddle arch / Cases";""
"9564";"HANDTAG PASSAGERARE MC/SNÖS.";"Handle Rear";""
"9571";"FOTPINNE FRAM VÄ MC";"Footpeg Front Left";""
"9572";"FOTPINNE FRAM HÖ MC";"Footpeg Front Right";""
"9573";"FOTPINNE BAK VÄ MC";"Footpeg Rear Left";""
"9574";"FOTPINNE BAK HÖ MC";"Footpeg Rear Right";""
"9575";"FOTPINNE FÄSTE MC";"Fotpinne Fäste MC";""
"9576";"FOTPINNE PLATTA FRAM MC";"Footpeg Plate front";""
"9577";"FOTPINNE PLATTA FRAM VÄ";"Footpeg Plate Front Left";""
"9578";"FOTPINNE PLATTA FRAM HÖ";"Footpeg Plate Front Right";""
"9580";"FOTPINNE PLATTA BAK MC";"Footpeg Plate Rear";""
"9581";"FOTPINNE PLATTA BAK VÄ";"Footpeg Plate Rear Left";""
"9582";"FOTPINNE PLATTA BAK HÖ";"Footpeg Plate Rear Right";""
"9583";"FOTSKYDD VÄ MC";"Foot protector Left";""
"9584";"FOTSKYDD HÖ MC";"Foot protector Right";""
"9585";"SIDOSTÖD MC";"Side stand";""
"9586";"SIDOSTÖDSKONTAKT MC";"Side stand contact";""
"9587";"CENTRALSTÖD MC";"Middle side stand";""
"9591";"KYL VÄ MC";"Cooler Left";""
"9592";"KYL HÖ MC";"Cooler Right";""
"9593";"KYL OLJERÖR MC";"Kyl Oljerör MC";""
"9599";"DRIVMATTA SNÖS.";"Drivmatta Snöskoter";""
"9600";"DREVKÅPA MC";"Clutch cover";""
"9601";"DREVHÅLLARE MC";"Clutch case";""
"9602";"DREVPLATTA MC";"Gear Plate";""
"9603";"STARTMOTORDREV MC";"Startmotordrev MC";""
"9604";"TURBO MC";"Turbo MC";""
"9605";"KEDJA / DRIVREM MC";"Chain";""
"9606";"KEDJESKYDD MC";"Chain guard";""
"9607";"KEDJESTRÄCKARE MC";"Chain tugs";""
"9608";"SKYDDSPLÅT MOTOR MC";"Skyddsplåt Motor MC";""
"9609";"SKYDDSBÅGE MOTOR MC";"Skyddsbåge Motor MC";""
"9610";"RYCKUTJÄMNARE MC";"Damper";""
"9611";"REMSKYDD VÄ MC";"Belt protector Left";""
"9612";"REMSKYDD HÖ MC";"Belt protector right";""
"9613";"KARDANAXEL MC";"Kardan axle";""
"9614";"HJULAXEL FRAM MC";"Wheel axle front";""
"9615";"HJULAXEL BAK MC";"Wheel axle rear";""
"9616";"KARDAN SLUTVÄXEL MC";"Kardan Slutväxel MC";""
"9618";"VARVRÄKNARE VAJER MC";"Lap counter";""
"9619";"HAST.MÄTARDRIVNING MC/SNÖS.";"Speedometer Driving";""
"9620";"HJUL FRAM MC";"Wheel Front";""
"9621";"HJUL BAK MC";"Wheel Rear";""
"9622";"DÄCK FRAM MC";"Tire Front";""
"9623";"DÄCK BAK MC";"Tire Rear";""
"9624";"FÄLG FRAM MC";"Rim Front";""
"9625";"FÄLG BAK MC";"Rim Rear";""
"9628";"BOGGIE BÄRARM BAKRE SNÖS.";"Boggie Bärarm Bakre Snöskoter";""
"9629";"BOGGIE BÄRARM FRÄMRE SNÖS.";"Boggie Bärarm Främre Snöskoter";""
"9630";"GAFFEL KOMPL MC";"Fork Compl";""
"9631";"GAFFELKRONA KOMPL MC";"Fork Crown Compl";""
"9632";"GAFFELKRONA ÖVRE MC";"Upper Fork Crown";""
"9633";"GAFFELKRONA NEDRE MC";"Lower Fork Crown";""
"9635";"GAFFELBEN SEP. VÄ MC";"Fork tube Separate Left";""
"9636";"GAFFELBEN SEP. HÖ MC";"Fork tube Separate Right";""
"9637";"BOGGIE STÖTDÄMPARE FRÄMRE SNÖS.";"Boggie Stötdämpare Främre Snöskoter";""
"9638";"BOGGIE STÖTDÄMPARE BAKRE SNÖS.";"Boggie Stötdämpare Bakre Snöskoter";""
"9639";"STÖTDÄMPARE FRAM MC/SNÖS.";"Stötdämpare Fram MC";""
"9640";"STÖTDÄMPARE BAK LÄNKAGE MC";"Stötdämpare Bak Länkage MC";""
"9641";"STÖTDÄMPARE BAK VÄ MC";"Suspension dampers Rear Left";""
"9642";"STÖTDÄMPARE BAK HÖ MC";"Suspension dampers Rear Right";""
"9643";"BROMSHUVUDCYLINDER FRAM MC";"Brake Cylinder Front";""
"9644";"BROMSHUVUDCYLINDER BAK MC";"Brake Cylinder Rear";""
"9645";"BROMSSKIVA FRAM VÄ MC";"Brake Disc Front Left ";""
"9646";"BROMSSKIVA FRAM HÖ MC";"Brake Disc Front Right";""
"9647";"BROMSSKIVA BAK VÄ MC";"Brake Disc Rear Left";""
"9648";"BROMSSKIVA BAK HÖ MC";"Brake Disc Rear Right";""
"9649";"BROMSOK BAK MC";"Brake shoes Rear";""
"9650";"SVING MC";"Swing";""
"9651";"SVING KOMPL MC";"Swing Compl";""
"9652";"SVINGAXEL MC";"Swing Axle";""
"9653";"SVINGFÄSTE MC";"Swing Bracket";""
"9654";"SVINGLOCK MC";"Swing Cap";""
"9655";"BROMS OLJEBEHÅLLARE BAK MC";"Bromsoljebehållare Bak MC";""
"9656";"BROMS OLJEBEHÅLLARE FRAM MC";"Bromsoljebehållare Fram MC";""
"9669";"BAKLJUS FÄSTE/HÅLLARE MC";"Bakljus Fäste/Hållare MC";""
"9670";"BAKLJUS KOMPL MC/SNÖS.";"Tail light Compl";""
"9671";"BAKLJUSGLAS MC";"Tail light glass";""
"9672";"BAKLJUSHÅLLARE MC/SNÖS.";"Tail light cases";""
"9673";"BLINKERS BAK KOMPL VÄ MC";"Indicators Rear Compl Left";""
"9674";"BLINKERS BAK KOMPL HÖ MC";"Indicators Rear Compl Right";""
"9675";"BLINKERSGLAS BAK VÄ MC";"Indicator glass Rear Left";""
"9676";"BLINKERSGLAS BAK HÖ MC";"Indicator glass Rear Right";""
"9677";"BLINKERSHUS BAK VÄ MC";"Indicator housing Rear Left";""
"9678";"BLINKERSHUS BAK HÖ MC";"Indicator housing Rear Right";""
"9679";"STRÅLKASTARE FÄSTE MC";"Strålkastare Fäste MC";""
"9680";"STRÅLKASTARGLAS MC";"Strålkastarglas MC";""
"9690";"SLÄP GALLER/GRINDAR";"Galler/Grindar släp";""
"9691";"HÄSTSLÄP TILLBEHÖR ÖVRIGT";"Tillbehör Övrigt hästsläp";""
"9692";"HÄSTSLÄP TILLBEHÖR KAROSS";"Tillbehör Kaross hästsläp";""
"9693";"HÄSTSLÄP FÖNSTER/TAKLUCKA";"Fönster/Taklucka hästsläp";""
"9694";"HÄSTSLÄP SADELKAMMARE";"Sadelkammare hästsläp";""
"9695";"HÄSTSLÄP MELLANVÄGG";"Mellanvägg hästsläp";""
"9696";"HÄSTSLÄP BOMMAR";"Bommar hästsläp";""
"9697";"HÄSTSLÄP SKÖTARDÖRR";"Skötardörr hästsläp";""
"9698";"HÄSTSLÄP GALLER";"Galler hästsläp";""
"9699";"HÄSTSLÄP SPARKSKYDD";"Sparkskydd hästsläp";""
"9700";"HUSV VÄRMEVÄXLARE";"Värmeväxlare husvagn";""
"9701";"HUSV VÄRMEPANNA";"Boiler";""
"9702";"HUSV VARMVATTENBEREDARE";"Hot water tank";""
"9703";"HUSV CIRKULATIONSPUMP";"Circulation pump";""
"9704";"HUSV TAKLUCKA";"Sun roof";""
"9705";"HUSV TILLBEHÖR VÄRMEPANNA";"Tillbehör Värmepanna";""
"9706";"HUSV SKÅP/LUCKA";"Locker / Latch";""
"9707";"HUSV BORD/BENSTÄLLNING";"Table / Leg positioning";""
"9708";"HUSV SPIS/VASK";"Eat / Wash";""
"9709";"KYLSKÅP";"Refrigerator";""
"9710";"HUSV KÖKSFLÄKT";"Kitchen Fan";""
"9711";"HUSV DYNGRUPP";"Blankets";""
"9712";"HUSV TOAKASSETT";"Toilet cassette";""
"9713";"HUSV BATTERILADDARE";"Battery chargers";""
"9714";"HUSV AXEL";"Axle";""
"9715";"HUSV PÅSKJUTSBROMS";"Retarder brake";""
"9716";"HUSV KULHANDSKE";"Hitch";""
"9717";"HUSV TÄLT/TÄLTPINNAR";"Tent / Tent pegs";""
"9718";"HUSV MANÖVERPANEL";"Maneuver console";""
"9719";"HUSV FÄRSKVATTENTANK";"Fresh water tank";""
"9720";"HUSV AVLOPPSTANK/PÅSE";"Slamtank / Bag";""
"9721";"HUSV KOFFERT/LUCKA";"Suit case / Latch";""
"9722";"HUSV STÖDHJUL";"Support Wheels";""
"9723";"HUSV STÖDBEN";"Support legs";""
"9724";"HUSV GASOLTUB";"Bottle of liquefied petroleum gas";""
"9725";"HUSV GASOLKLOCKA";"Liquefied gas meter";""
"9726";"HUSV GASOLRÖR/SLANT";"Liquefied gas pipe";""
"9727";"HUSV GASOLKRAN/VENTIL";"Liquefied gas tap /  valve";""
"9728";"HUSV SÄNG";"Bed";""
"9729";"HUSV ANTENN/PARABOL";"Antenna  / Satellite Dish";""
"9730";"HUSV TAKFLÄKT";"Ceiling fan";""
"9731";"HUSV LUFTKOND/AC";"Air conditioning";""
"9732";"HUSV STEGE/LASTRÄCKE";"Ladder / Loading rail";""
"9733";"HUSV ELPATRON";"EL-Cartridge";""
"9734";"HUSV VATTENPUMP";"Coolant pump";""
"9735";"HUSV ÖVRIGT 12-VOLT";"Other 12-Volt";""
"9736";"HUSV ÖVRIGT 230-VOLT";"Other 230-Volt";""
"9737";"HUSV VATTENKRAN";"Water tap";""
"9738";"HUSV BELYSNING";"Lighting";""
"9739";"HUSV TRAPPA";"Stairs";""
"9740";"HUSV DÖRR";"Door ";""
"9741";"HUSV LÅS";"Lock";""
"9742";"HUSV VENTIL";" valve";""
"9743";"HUSV KOMPLETT CHASSI";"Complete Body";""
"9744";"HUSV BROMSTRUMMA";"Brake drum";""
"9745";"HUSV MARKIS";"Markis";""
"9746";"HUSV BAKLJUS LIKSIDIG";"Husvagns Bakljus Liksidig";""
"9747";"HUSV BAKLJUS VÄ";"Husvagns Bakljus Vä";""
"9748";"HUSV BAKLJUS HÖ";"Husvagns Bakljus Hö";""
"9749";"HUSV FÖNSTER KASSETT";"Fönster kassett";""
"9750";"HUSV FÖNSTER FÖR GUMMILIST";"Husvagns Fönster med gummilist";""
"9751";"HUSV FÖNSTER HÄNGFÖNSTER";"Husvagns Fönster hängfönster";""
"9752";"HUSV TILLBEHÖR KÖK";"Husvagns Tillbehör Kök";""
"9753";"HUSV TILLBEHÖR TOALETT";"Husvagns Tillbehör Toalett";""
"9754";"HUSV TILLBEHÖR KAROSS";"Husvagns Tillbehör Kaross";""
