"ABE"
"OSRAM"
"OVATION"
"PAGID"
"PAL"
"PANASONIC"
"PARIS-ROHNE"
"PBR"
"PHILIPS"
"PIERBURG"
"PILKINGTON"
"PIONEER"
"PIRELLI"
"POINT S"
"POONGSUNG"
"PRIMEARTH EV ENERGY"
"PSA"
"RADAR"
"REHAU AG"
"REMSA"
"REMUS"
"ROADSTONE"
"ROCKSTONE"
"ROCKWELL"
"RONAL"
"ROTALLA"
"ROVELO"
"RUVILLE"
"RÖECHLING AUTOMOTIVE"
"SACHS"
"SAGEM"
"SAGINAW"
"SAILUN"
"SAINT-GOBAIN"
"SAMLIP"
"SANDEN"
"SANYO"
"SATURNUS"
"SAVA"
"SCHEFENACKER"
"SCINTEX"
"SEG AUTOMOTIVE"
"SEIBERLING"
"SEIKO"
"SEIM"
"SEM"
"SEMPERIT"
"SHOWA"
"SIARR"
"SIDLER"
"SIEM"
"SIEMENS"
"SIEMENS VDO"
"SISECAM"
"SKF"
"SME"
"SMI"
"SMITHS"
"SMR"
"SOFICA"
"SOLEX"
"SOLIVER"
"SONAR"
"SONY"
"SPEEDLINE"
"SPICER"
"SPLINTEX"
"STABILUS"
"STANLEY"
"STARGLASS"
"STAR PERFORMER"
"STEINHOF"
"STRIAL"
"SUMITOMO"
"SUMO"
"SUNFULL"
"SUNNY"
"SUPLEX"
"SWAG"
"SWF"
"SWMP"
"SÜDRAD"
"SYLVANIA"
"TALMU"
"TEC"
"TECAR"
"TELEFUNKEN"
"TEMIC"
"TEMPALEX"
"TESLA"
"TEXTON"
"TEXTRON"
"THULE"
"THYSSENKRUPP"
"TIGAR"
"TOKAI RIKA"
"TOKICO"
"TOLEDO"
"TOMASON"
"TOYO"
"TRACMAX"
"TRIANGLE"
"TRICO"
"TRIDON"
"TRISTAR"
"TRW"
"TUDOR"
"TYC"
"TYCO"
"TYFOON"
"UFI"
"ULO"
"UNIPOINT"
"UNIROYAL"
"UNISIA JECS"
"VAICO"
"VALEO"
"VBG"
"VDO"
"VEGLIA"
"VEMO"
"VICKERS"
"VIKING"
"VIMERCATI"
"VISTEON"
"VREDESTEIN"
"WABCO"
"WAGNER"
"WAHLER"
"WALBRO"
"WALKER"
"WEBASTO"
"WEBER"
"WESTFALIA"
"WESTLAKE"
"WINDFORCE"
"WITTE"
"WOKING"
"YAZAKI"
"YMOS"
"YOKOHAMA"
"YORKA"
"ZAURAK"
"ZEXEL"
"ZF"
"ZIMMERMANN"
"ZKW"
