"code";"SV";"DE";"pos"
"4509";"STÖTFÅNGARHORN BAK HÖ";"Stoßstange Hupe";"Recht"
"4510";"LASTMATTA/SKYDD";"Teppich im Laderaum/Schutz";""
"4511";"LASTNÄT";"Ladenetz";""
"4512";"HATTHYLLA SIDOSTYCKE VÄ";"Hutablage Seitenstück";"Links"
"4513";"HATTHYLLA SIDOSTYCKE HÖ";"Hutablage Seitenstück";"Recht"
"4514";"KOPPLING TRYCKPLATTA";"Kupplung Druckplatte";""
"4515";"DIM 000-23";"DIM 000-23";""
"4516";"DIM 000-24";"DIM 000-24";""
"4517";"DIM 000-25";"DIM 000-25";""
"4518";"DIM 000-26";"DIM 000-26";""
"4519";"DIM 000-27";"DIM 000-27";""
"4520";"DIM 000-28";"DIM 000-28";""
"4521";"DÖRRKLÄDSEL INLÄGG/LIST VÄ";"Türpolsterdetails";"Links"
"4522";"DÖRRKLÄDSEL INLÄGG/LIST HÖ";"Türpolsterdetails";"Recht"
"4523";"MELLANAXEL BALK";"Zwischenachse Balken";""
"4524";"HANDBROMSSPAK DAMASK/SKYDD";"Handbremshebel Gamasche/Schutz";""
"4525";"PARKERINGSBROMS ÖVRIGT";"Parkbremse Übriges";""
"4526";"PARKERINGSBROMS PEDALSTÄLL";"Handbremse Pedalengestell";""
"4527";"SKÄRM HÖRN UTFYLLNAD BAK";"Kotflügel Ecke";""
"4528";"SKÄRM HÖRN UTFYLLNAD FRAM";"Kotflügel Ecke";""
"4529";"TANKLUCKA VAJER";"Tankdeckel Wire";""
"4530";"KOLKANISTER VENTIL";"Kolkanister Ventil";""
"4531";"STRÖMSTÄLLARE BRÄNSLE OKTAN";"Kraftstoff Oktan Stromschalter";""
"4532";"SÄKRINGSDOSA/ELCENTRAL LOCK";"Säkringsdosa/Elcentral Lock";""
"4533";"HUV LUFTINTAG";"Haube Lufteinlass";""
"4534";"HJULLAGERHUS BAK VÄ";"Radlager gehäuse";"Hinten Links"
"4535";"HJULLAGERHUS BAK HÖ";"Radlager gehäuse";"Hinten Recht"
"4536";"INJ.BRÄNSLE BACKVENTIL/ACKUM.";"Rückventil/Ackum.";""
"4537";"INREDNING SOFFA FRAM RYGG";"Cauch vorne Rückenlehne";""
"4538";"INREDNING SOFFA FRAM SITS";"Kauch vorne sitz";""
"4539";"INREDNING SOFFA FRAM KOMPLETT";"Cauch vorne Komplett";""
"4540";"LIST SKÄRMKANT";"Leiste Kotflügelkante";""
"4541";"GIVARE TEMPERATUR OLJA";"Oljetemperatur Givare";""
"4542";"OLJEKYLARE SERVOSTYRNING";"Oljekylare Servostyrning";""
"4543";"OLJEKYLARE AUTOMAT";"Oljekylare Automat";""
"4544";"OLJA PÅFYLLNINGSLOCK";"Öl einfüllstützen-deckel";""
"4545";"OLJA PÅFYLLNINGSRÖR";"Öl einfüllstützen-rohr";""
"4546";"OLJEFÄLLA";"Ölgefälle";""
"4547";"KYLARE PÅFYLLNINGSLOCK";"Kylare Påfyllningslock";""
"4548";"BAKAXEL FÄSTE";"Hinterachse Halterung";""
"4549";"BAKAXEL KUDDE";"Hinterachse Kissen";""
"4552";"VEVLAGER";"Kurbelwelle lager";""
"4553";"KURVHANDTAG I TAK";"Griff im Dach";""
"4554";"GIVARE OLJENIVÅ VAKT";"Oljenivåvakt";""
"4555";"VÄXELSPAKSKNOPP";"Växelspaksknopp";""
"4556";"VERKSTADSHANDBOK";"Werkstatt Handbuch";""
"4557";"HÖGTALARE GALLER";"Lautsprecher Gitter";""
"4558";"STYRSNÄCKA SERVO";"Styrsnäcka Servo";""
"4559";"STRÖMSTÄLLARE AC";"AC Stromschalter";""
"4560";"STRÖMSTÄLLARE FARTHÅLL.HUVUD";"Geschwindigketshalter Haubt Strömställare";""
"4561";"STRÖMSTÄLLARE CENTRALLÅS";"Centralverriegelung Stromschalter";""
"4562";"STRÖMSTÄLLARE TANKLUCKA";"Tankluke Stromschalter";""
"4564";"STRÖMSTÄLLARE BACKLJUSKONTAKT";"Rücklicht kontakt Stromschalter";""
"4565";"STRÖMSTÄLLARE NIVÅREGLERING";"Niveauregler Stromschalter";""
"4566";"STRÖMSTÄLLARE BAKLUCKA";"Kofferraumdeckel Stromschalter";""
"4567";"STRÖMSTÄLLARE TORK/SPOL BAKR";"Wischer/Spühlung Heckscheibe Stromschalter";""
"4569";"STYRSTAG (UTAN LED) MITT";"Styrstag / Ingen led";"Mitte"
"4570";"STYRSTAG (UTAN LED) VÄ";"Styrstag / Ingen led";"Links"
"4571";"STYRSTAG (UTAN LED) HÖ";"Styrstag / Ingen led";"Recht"
"4572";"VÄXELLÅDA MAN. 3 VXL";"Växellåda 3 Speed";""
"4573";"VÄXELLÅDA MAN. 7 VXL";"Växellåda 7 Speed";""
"4574";"BAKLUCKA/FLAKLÄM VAJER";"Heckklappe Wire";""
"4575";"LÅSKISTA BAKLUCKA";"Låskista Kofferraumdeckel";""
"4576";"TARGA TOP";"Targa TOP";""
"4577";"BLINK.INSATS/LAMPH.BAK.VÄ";"Blinkereinheit/Lampenhalter";"Links"
"4578";"BLINK.INSATS/LAMPH.BAK.HÖ";"Blinkereinheit/Lampenhalter";"Recht"
"4579";"BLINKERSGLAS BAK VÄ";"Blinker Glas";"Links"
"4580";"BLINKERSGLAS BAK HÖ";"Blinker Glas";"Recht"
"4581";"VENTIL DÄCK";"Ventil zum Reifen";""
"4582";"VENTIL LYFTARE";"Ventilzug";""
"4583";"SIDORUTA SPÄNNE";"Seitenfenster Schloss";""
"4584";"MEDBRINGARE VÄXEL";"Medbringare Växel";""
"4585";"INSTRUMENT LUTNINGSINDIKATOR";"Lutningsindikator";""
"4586";"SIDORUTA ÖPPN/KAROSS HÖ";"Sidoruta Öppningsbar/Kaross";"Recht"
"4587";"SIDORUTA ÖPPN/KAROSS VÄ";"Sidoruta Öppningsbar/Kaross";"Links"
"4588";"SIDORUTA FRÄMRE HÖ/KAROSS";"Sidoruta Främre A-Stolpe";"Recht"
"4589";"SIDORUTA FRÄMRE VÄ/KAROSS";"Sidoruta Främre A-Stolpe";"Links"
"4590";"RELÄ BENSIN/DIESELVÄRMARE";"Bensin/Dieselvärmare relä";""
"4591";"RELÄ DIMMER";"Dimmer relä";""
"4592";"RELÄ SPOLNING";"Spolning relä";""
"4593";"RELÄ TAKLUCKSMOTOR";"Sonnendachmotor";""
"4594";"RELÄ VÄRMEFLÄKT";"Värmefläkt relä";""
"4595";"STRÖMSTÄLLARE ANTENN";"Antenn Strömställare";""
"4596";"STRÖMSTÄLLARE INNERBELYSNING";"Innerbelysning Strömställare";""
"4597";"STRÖMSTÄLLARE STRÅLKASTARTORK";"Strålkastartorkare Strömställare";""
"4598";"STRÖMSTÄLLARE FADER/HÖGTALARE";"Fader/Högtalare Strömställare";""
"4599";"STRÖMSTÄLLARE TORKARINTERVALL";"Torkarintervall Strömställare";""
"4600";"STRÖMSTÄLLARE BARNLÅS";"Barnlås Strömställare";""
"4601";"INSTRUMENTBRÄDA /SPARKSKYDD";"Instrumentenbrett / Tretschutz";""
"4602";"DÖRR VENTRUTA FRAM LÅSANORDN.";"Låsanordning Vent.ruta fram";""
"4603";"BAKLUCKEHANDTAG INRE";"Bakluckehandtag Invändigt";""
"4604";"BENSINKRAN BIL";"Bensinkran";""
"4605";"BLINKERS BAK KOMPL HÖ";"Blinker Komplett";"Recht"
"4606";"BLINKERS BAK KOMPL VÄ";"Blinker Komplett";"Links"
"4607";"CENTRALLÅSKONTAKT/DÖRRKONTAKT";"Centrallåskontakt vid Lås";""
"4608";"MOBILTELEFONLADDARE";"Mobiltelefonladdare";""
"4609";"GIVARE INLOPPSLUFT TEMPERATUR";"Insugsluft Temperatur givare";""
"4610";"HANDSFACK INSATS";"Handsschuhfach Einsatz";""
"4611";"INSTRUMENTBRÄDA INLÄGG/DEKORLIST";"Inlägg Dekor till Instrumentbräda";""
"4612";"KAMKEDJE/KAMREM SPÄNNARE";"Kamkettenspanner";""
"4613";"KAMKEDJA/KAMREM STYRSKENA/RULLE";"Kamkette Steuerschiene";""
"4614";"KYLARSLANG FÄST PÅ MOTOR";"Kylarslang fäst på motor";""
"4615";"MELLANAXEL FRÄMRE 4WD";"Zwischenachse Front 4WD";""
"4616";"DIMLJUS/REFLEX BAK";"Reflex";""
"4617";"RADIO/STEREO KASSETTBANDSP.";"Radio Kassette/Stereo 8";""
"4618";"REMSPÄNNARE FLÄKTREM";"Remspännare för Fläktrem";""
"4619";"SOLSENSOR/SKYMNINGSSENSOR";"Skymmning Sensor";""
"4620";"SPEGEL INVÄNDIG EL";"Rückpiegel Innen Elektrisch";""
"4621";"STRÖMSTÄLLARE SKYMNING";"Skymning Strömställare";""
"4622";"STRÖMSTÄLLARE STOLMINNE";"Stolminne Strömställare";""
"4623";"STRÖMSTÄLLARE DIFFSPÄRR";"Diffspärr Strömställare";""
"4624";"VÄXELLÅDSKUDDE";"Växellådskudde";""
"4625";"AVGASKYLARE";"Avgaskylare";""
"4626";"BILDSKÄRM";"Bildskärm";""
"4627";"CD-VÄXLARE";"CD Växlare";""
"4628";"INJ.SPRIDARE FÖRKOPPL.MOTSTÅND";"Spridare Förkopplingsmotstånd";""
"4629";"INSTRUMENTBRÄDA FÖRVARINGSFACK";"Förvaringsfack i instrum.bräda";""
"4630";"KOPPLING SLANG/RÖR";"Koppling Slang / Rör";""
"4631";"OLJEKYLARE BAKAXEL";"Oljekylare Bakaxel";""
"4632";"OLJEPUMP BAKAXEL";"Oljepump Bakaxel";""
"4633";"OLJEPUMP VÄXELLÅDA";"Oljepump Växellåda";""
"4634";"RADIO/STEREO FÖRSTÄRKARE";"Radio / Stereo Förstärkare";""
"4635";"ANTENNFÖRSTÄRKARE";"Antennförstärkare";""
"4636";"STRÖMSTÄLLARE CIRKULATION/LUFT";"Cirkulation / Luft Strömställare";""
"4637";"TÄNDNING KONDENSATOR";"Tändning Kondensator";""
"4638";"DVD SPELARE";"DVD Spelare";""
"4639";"SIDORUTA BAK - DEKORLIST";"Dekorlist Sidoruta Bak";""
"4640";"SIDORUTA BAK - GUMMILIST";"Gummilist Sidoruta Bak";""
"4641";"BAKRUTA - DEKORLIST";"Dekorlist Bakruta";""
"4642";"BAKRUTA - GUMMILIST";"Gummilist Bakruta";""
"4643";"VINDRUTA - DEKORLIST";"Dekorlist Vindruta";""
"4644";"VINDRUTA - GUMMILIST";"Gummilist Vindruta";""
"4645";"GIVARE GASPEDAL";"Gaspedal givare";""
"4646";"GIVARE NIVÅVAKT BROMSVÄTSKA";"Nivåvakt/Givare Bromsvätska";""
"4647";"GIVARE NIVÅVAKT KYLARVÄTSKA";"Nivåvakt/Givare Kylarvätska";""
"4648";"GIVARE NIVÅ EXPANSIONSKÄRL";"Givare Nivå Expansionskärl";""
"4649";"AC INNERTEMPERATUR SENSOR";"AC Innertemperatur Sensor";""
"4650";"TANKLUCKA LÅS";"Lås Bränslepåfyllningslucka";""
"4651";"VINDAVVISARE DÖRR";"Vindavvisare på dörr";""
"4652";"NAVKAPSEL SATS";"Navkapselsats 4st";""
"4653";"RATTNAV";"Rattnav";""
"4654";"BRÄNSLEKYLARE";"Bränslekylare";""
"4655";"RESERVDELSMOTOR";"Reservdelsmotor";""
"4656";"RESERVDELSVÄXELLÅDA";"Reservdelsväxellåda";""
"4657";"FÖRPUMP DIESEL";"Förpump Diesel";""
"4658";"LÅS HARDTOPP/CAB";"Lås Hardtopp/Cab";""
"4659";"KONDENSATOR START/STOPP";"Start/Stopp Kondensator";""
"4660";"START/STOPP ÖVRIGT";"Start/Stopp Övrigt";""
"4700";"STRÖMSTÄLLARE VINDRUTESPOLNING";"Vindrutespolning Strömställare";""
"4701";"STRÖMSTÄLLARE TORKARE";"Torkare Strömställare";""
"4730";"RELÄ VÄXELINDIKATOR";"Växelindikator relä";""
"4732";"RELÄ TOMGÅNGSSTABILISATOR";"Tomgångsstabilisator relä";""
"4733";"RELÄ BÄLTESVARNARE";"Bältesvarnare relä";""
"4734";"RELÄ OLJETRYCKSGIVARE";"Oljetryck relä";""
"4735";"RELÄ BRÄNSLEFÖRBRUKNINGSMÄTARE";"Bränsleförbrukningsmätare relä";""
"4736";"RELÄ STRÅLKASTARRENGÖRING";"Strålkastarrengöring relä";""
"4737";"RELÄ KYLVÄTSKEVARNING";"Kylvätskevarning relä";""
"4738";"RELÄ SPÄNNINGSOMVANDLARE";"Spänningsomvandlare relä";""
"4739";"RELÄ DRAGKROK";"Dragkrok relä";""
"5001";"SKÄRM BAK VÄ";"Kotflügel";"Hinten Links"
"5002";"SKÄRM BAK HÖ";"Kotflügel";"Hinten Recht"
"5003";"SKÄRMBREDDARE";"Skärmbreddare";""
"5004";"STÄNKSKYDD";"Schmutzfänger";""
"5005";"SPOILER BAKLUCKA";"Spoiler Heckklappe";""
"5006";"KJOLSPOILER BAK";"Kjolspoiler Bak";""
"5007";"BAKLUCKEÖPPNARE";"Bakluckeöppnare";""
"5008";"INREDNING BAKLUCKEKLÄDSEL";"Kofferraumdeckel polster";""
"5009";"LÅS/BAKLUCKELÅS";"Kofferraum schloss";""
"5010";"BAKLUCKA (EJ MED RUTA)";"Heckklappe (Modell ohne scheibe)";""
"5011";"BAKLUCKEGÅNGJÄRN VÄ";"Heckklappe Scharnier";"Links"
"5012";"BAKLUCKEGÅNGJÄRN HÖ";"Heckklappe Scharnier";"Recht"
"5013";"BAKLUCKA CC/KOMBI-SEDAN";"Heckklappe CC/Combi-Coupé";""
"5014";"GASFJÄDER BAKLUCKA";"Gasfeder Heckklappe";""
"5015";"BAKLUCKA KOMBI/VAN";"Heckklappe Combi";""
"5016";"DÖRR BAK VAN/SKÅP VÄ";"Ladetür Van/Kasten";"Hinten Links"
"5017";"DÖRR BAK VAN/SKÅP HÖ";"Ladetür Van/Kasten";"Hinten Recht"
"5018";"TANKLUCKA";"Tankdeckel";""
"5019";"TANKLOCK";"Kraftstofftank Deckel";""
"5020";"BAKLUCKEHANDTAG";"Heckklappe Griff";""
"5021";"BAGAGE GOLV";"Gepäckraum Boden";""
"5022";"BAKLUCKA ÖVRE";"Heckklappe geteilt";"Oben"
"5023";"BAKLUCKA NEDRE";"Heckklappe geteilt";"Below"
"5024";"PARKERINGSHJÄLP FRONTSENSOR";"Parkeringshjälp Frontsensor";""
"5025";"PARKERINGSHJÄLP BACKSENSOR";"Backsensor";""
"5026";"SENSOR ADAPTIV FARTHÅLLARE";"Adaptiv Farthållare Sensor";""
"5027";"SENSOR AKTIVT KOLLISIONSSKYDD";"Aktivt kollisionsskydd Sensor";""
"5028";"STÖTFÅNGAR DEFORM.ELEMENT BAK";"Stötfångardeformeringselement bak";""
"5029";"STÖTFÅNGARBALK BAK";"Balken Stoßstange";""
"5030";"STÖTFÅNGARE BAK";"Stoßstange";""
"5031";"STÖTFÅNGARDEL BAK VÄ";"Stoßstange Dreigeteilt";"Links"
"5032";"STÖTFÅNGARDEL BAK HÖ";"Stoßstange Dreigeteilt";"Recht"
"5033";"STÖTFÅNGARBEKLÄDNAD BAK";"Bekleidung Stoßstange";""
"5034";"STÖTFÅNGARDÄMPARE BAK";"Stoßstange Dämpfer";""
"5035";"STÖTFÅNGARDEL BAK MITT";"Stoßstange Dreigeteilt";"Mitte"
"5036";"STÖTFÅNGARLIST BAK";"Leiste der Stoßstange";"Hinten"
"5037";"STÖTFÅNGARBÄRJÄRN BAK";"Stoßstange Trägereisen";""
"5038";"SKYLTBELYSNING";"Schild Beleuchtung";""
"5039";"BROMSLJUS BAKRUTA";"Bremslicht Hechscheibe";""
"5040";"BACKLAMPA";"Rücklicht";""
"5041";"BAKLJUS VÄ";"Rücklicht_2";"Links"
"5042";"BAKLJUS HÖ";"Rücklicht_2";"Recht"
"5043";"BAKLJUS.INSATS/LAMPH.VÄ";"Rücklichteinheit/Lampenhalter";"Links"
"5044";"BAKLJUS.INSATS/LAMPH.HÖ";"Rücklichteinheit/Lampenhalter";"Recht"
"5045";"POSITIONSLJUS BAK VÄ";"Positionslicht";"Links"
"5046";"POSITIONSLJUS BAK HÖ";"Positionslicht";"Recht"
"5047";"BAKLJUS BAKLUCKA VÄ";"Rücklicht Luke";"Links"
"5048";"BAKLJUS BAKLUCKA HÖ";"Rücklicht Luke";"Recht"
"5049";"BAKLJUSLAMPHÅLLARE LUCKA";"Bakljuslamphållare Lucka";""
"5050";"SKYLT BELYSNING FÄSTE";"Skylt Belysning fäste";""
"5051";"BAKLJUSGLAS VÄ";"Rücklicht Glas";"Links"
"5052";"BAKLJUSGLAS HÖ";"Rücklicht Glas";"Recht"
"5053";"BAKLJUSSARG";"Rücklicht rahmen";""
"5054";"KAMERA UTVÄNDIG";"Kamera Utvändig";""
"5055";"BAKRUTA";"Heckscheibe";""
"5056";"REFLEXRAMP/DEKORRAMP";"Reflexrampe/Dekorrampe";""
"5057";"BRÄNSLE KOLKANISTER";"Kolkanister";""
"5058";"BRÄNSLETANKSBAND / TANKKONSOL";"Kraftstofftank band";""
"5059";"BRÄNSLEPÅFYLLN.RÖR/SLANG";"Kraftstoff auffüllung Rohr/Schlauch";""
"5060";"BRÄNSLETANK BENSIN";"Benzinkanister";""
"5061";"BRÄNSLETANK INSPRUTNING";"Benzintank Einspritz";""
"5062";"BRÄNSLETANK DIESEL";"Dieseltank";""
"5063";"BRÄNSLET.ARMAT.EJ GIVARE";"Kraftstofftank armatur (ej givare)";""
"5064";"BENSINKRAN MC";"Bensinkran";""
"5065";"INSUGSGUMMI MC";"Insugsgummi";""
"5066";"BRÄNSLETANK SKYDDSPLÅT";"Kraftstofftank Skyddsplåt";""
"5067";"BRÄNSLETANK GAS";"Bränsletank Gas";""
"5068";"RESERVHJULSSKYDD";"Reserveradschutz";""
"5069";"RESERVHJULSHÅLLARE";"Reserveradhalter";"Mitte"
"5070";"DRAGKROK / DRAG";"Abschlepphaken";""
"5071";"CYKELHÅLLARE";"Fahradhalter";""
"5072";"DRAGKROK ELSATS";"Elsats Dragkrok";""
"5073";"STYRENHET DRAGKROK";"Dragkrok Styrenhet";""
"5074";"STYRENHET BAKLUCKA";"Baklucka Styrenhet";""
"5075";"SPOLARTANK BAKLUCKA";"Spülungsbehälter Kofferraumdeckel";""
"5076";"SPOLARPUMP BAKLUCKA";"Spülungspumpe Kofferraumdeckel";""
"5077";"TORKARMEKANISM BAKRUTA";"Heckscheibe Wischermechanismus ";""
"5078";"BRÄNSLETANK PARTIKELFILTER";"Bränsletank Partikelfilter";""
"5079";"BRÄNSLE FÖRVÄRMN.MOTSTÅND";"Förvärmningsmotstånd";""
"5080";"ADBLUE TANK";"AdBlue tank";""
"5081";"BRÄNSLE GASFÖRDELARE";"Gasfördelare";""
"5082";"BRÄNSLE GASREGULATOR";"Gasregulator";""
"5083";"BRÄNSLE GASDRIFT ÖVRIGT";"Gasdrift Övrigt";""
"5084";"ADBLUE INSPRUTNINGSVENTIL";"Adblue Insprutningsventil";""
"5085";"ADBLUE PUMPMODUL";"Adblue pumpmodul";""
"5086";"STYRENHET ADBLUEPUMP";"Styrenhet Adbluepump";""
"5087";"ADBLUE TANKARMATUR";"Adblue Tankarmatur";""
"5088";"ADBLUE TANKKONSOL";"Adblue Tankkonsol";""
"5093";"STÖTFÅNGARFÄSTE BAK VÄ";"Stötfångarfäste Bak";"Links"
"5094";"STÖTFÅNGARFÄSTE BAK HÖ";"Stötfångarfäste Bak";"Recht"
"5095";"BAKPARTI/KAROSS";"Hintere partie/Karosse";""
"5096";"BAKPARTI/KAROSS M TAK";"Hintere partie/Karosserie mit Dach";""
"5097";"PLÅT/CHASSI ÖVRIGT";"Plåt/Chassi Övrigt";""
"5098";"VENTILATIONSUTSLÄPP BAK";"Ventilationsutsläpp Bak";""
"5099";"BAKPARTI ÖVRIGT";"Hintere partie Übriges";""
"7001";"FRAMVAGN/AXEL";"Framvagn/Axel";""
"7002";"FRAMVAGN FÄSTE/KUDDE";"Framvagn Fäste/Kudde";""
"7003";"BÄRARMSSTAG FRAM VÄ";"Bärarmsstag";"Vorn Links"
"7004";"BÄRARMSSTAG FRAM HÖ";"Bärarmsstag";"Vorn Recht"
"7005";"FRAMVAGNSBALK";"Framvagnsbalk";""
"7006";"KRÄNGNINGSHÄMMARE FRAM";"Krängningshämmare";"Vorn"
"7007";"MOTORBALK";"Motorbalken";""
"7008";"STYRSTAG VÄ / MITT / HÖ";"Styrstag";"Mitte Links Recht"
"7009";"STYRSTAGSÄNDE/LED VÄ";"Styrstagsände/Led";"Links"
"7010";"STYRSTAGSÄNDE/LED HÖ";"Styrstagsände/Led";"Recht"
"7011";"BÄRARM FRAM ÖVRE VÄ";"Bärarm";"vorn Oben Links"
"7012";"BÄRARM FRAM ÖVRE HÖ";"Bärarm";"vorn Oben Recht"
"7013";"BÄRARM FRAM UNDRE VÄ";"Bärarm";"vorn Below Links"
"7014";"BÄRARM FRAM UNDRE HÖ";"Bärarm";"vorn Below Recht"
"7015";"FJÄDER FRAM";"Feder";"Vorn"
"7016";"BOGSERÖGLA";"Abschleppkupplung";""
"7017";"FJÄDERSKÅL FRAM";"Federschale";"Vorn"
"7018";"STÖTDÄMPARE FRAM";"Stossdämpfer";"Vorn"
"7019";"MOMENTSTAG FRAM";"Momentstag";"Vorn"
"7020";"FJÄDERBEN FRAM VÄ HÖ";"Federbein";"Links Recht"
"7021";"FJÄDERBEN FRAM VÄ";"Federbein";"Links"
"7022";"FJÄDERBEN FRAM HÖ";"Federbein";"Recht"
"7023";"HJULMUTTER/BULT/SATS";"Rad/Boltsen/Sats";""
"7024";"NAV FRAM";"Nabe";"Vorn"
"7025";"MEDBRINGARE FRAM";"Medbringare";"Vorn"
"7026";"BROMSSKÖLD FRAM";"Bremsschutz";"Vorn"
"7027";"FJÄDER FRAM BLAD";"Blattfeder";"Vorn"
"7028";"FJÄDERBENSLAGER FRAM";"Federbein lager";"Vorn"
"7029";"FJÄDER/TORSIONSSTAV";"Fjäder/Torsionsstav";""
"7030";"STYRSPINDELLED/KULLED";"Styrspindelled/Kulled";""
"7031";"STYRSPINDEL LAGERHUS VÄ";"Styrspindel Lagerhus";"Links"
"7032";"STYRSPINDEL LAGERHUS HÖ";"Styrspindel Lagerhus";"Recht"
"7033";"NAVKAPSEL";"Nabkapsel";""
"7034";"FRAMVAGN ANSLAGSGUMMI";"Anslagsgummi Framvagn";""
"7035";"FÄLG PLÅT";"Felge Blech 1st";""
"7036";"FÄLG ALUMINIUM";"Felge Aluminium 1st";""
"7037";"FÄLGSATS PLÅT";"Felgen Blech 4st";""
"7038";"FÄLGSATS ALUMINIUM";"Felgen Aluminium 4st";""
"7039";"HJÄLPSTYRARM /SNÄCKA";"Styrhjälparm Pitman";""
"7040";"STYRVÄXEL/SNÄCKA MEKANISK";"Styrväxel/Snäcka";""
"7041";"STYRVÄXEL/SNÄCKA SERVO HYDRAULISK";"Styrväxel/Snäcka Servo";""
"7042";"RATTAXELKNUT";"Lenkradachseknoten";""
"7043";"RATTAXEL";"Lenkradachse";""
"7044";"RATTAXELRÖR";"Lenkradachserohr";""
"7045";"RATTAXELAGGREGAT";"Lenkradachseagregat";""
"7046";"RATTAXELRÖR/AXEL SERVO";"Lenkradachserohr/Achse Servo";""
"7047";"RATT.DEFORMATIONSELEMENT";"Lenkrad Deformationselement";""
"7048";"RATTAXELAGG. JUSTERBART";"Lenkradachseagregat Justierbar";""
"7049";"DRIVAXELTAPP FRAM YTTRE";"Getriebeachse Front";"Vorn Äußere"
"7050";"DRIVAXEL FRAM VÄ HÖ";"Getriebeachse";"vorn Links Recht"
"7051";"DRIVAXEL FRAM VÄ";"Getriebeachse";"Vorn Links"
"7052";"DRIVAXEL FRAM HÖ";"Getriebeachse";"Vorn Recht"
"7053";"DRIVKNUT FRAM INRE";"Getriebekopf";"Vorn Intern"
"7054";"DRIVKNUT FRAM YTTRE";"Getriebekopf";"Vorn Äußere"
"7055";"STYRSERVOPUMP MEKANISK";"Styrservo Pump";""
"7056";"STYRSERVOSATS KOMP.";"Styrservosats Kompl";""
"7057";"STYRSERVOOLJEBEHÅLLARE";"Steuer-lenk-Ölbehälter";""
"7058";"STYRNINGSDÄMPARE";"Styrningsdämpare";""
"7059";"STYRSERVOPUMPSFÄSTE";"Styrservo Pumpsfäste";""
"7060";"RATT";"Lenkrad";""
"7061";"RATT SIGNALKUDDE";"Lenkrad Signalkissen/Ring";""
"7062";"STYRSERVOSLANG/RÖR";"Styrservo Slang/Slangar";""
"7063";"STYRSERVO TRYCKVAKT/SENSOR/GIVARE";"Styrservo Tryckvakt/Sensor/Givare";""
"7064";"KOMPRESSOR STÖT/LUFTFJÄDRING";"Kompressor Stöt/Fjädring";""
"7065";"FJÄDR. HYDRAULPUMP";"Hydraulpump";""
"7066";"FJÄDR. HYDRAULKLOCKA FRAM";"Hydraulklocka";"Vorn"
"7067";"FJÄDR. HYDRAULKLOCKA BAK";"Hydraulklocka";"Hinten"
"7068";"FJÄDRING NIVÅREGLERING FRAM";"Hydraulreglage";"Vorn"
"7069";"FJÄDRING NIVÅREGLERING BAK";"Hydraulreglage";"Hinten"
"7070";"FRAMVAGN DIFFRENTIAL";"Diffrential Framvagn";""
"7071";"NAV FRIHJULSNAV";"Nabe Freiradnabe";""
"7072";"OLJEBEHÅLLARE NIVÅREGLERING";"Oljebehehållare Nivåreglering";""
"7073";"KRÄNGNINGSHÄMMAR FÄSTE/STAG";"Krängningshämmarfäste";""
"7074";"FJÄDERBENSSTAG";"Fjäderbensstag";""
"7075";"STRÖMFÖRDELARAXEL";"Strömfördelaraxel";""
"7076";"FJÄDR. HYDRAULSLANG";"Hydraulslang Fjädring";""
"7077";"HYDRAULSLANG ÖVRIGT";"Hydraulslang Övrigt";""
"7078";"STYRENHET FJÄDRING / NIVÅ LUFTBÄLG";"Fjädring Styrenhet";""
"7079";"STYRSERVOFILTER";"Styrservofilter";""
"7080";"STYRSERVO NIVÅVAKT";"Styrservo Nivåvakt";""
"7081";"STYRSERVOPUMPSLOCK";"Styrservo Pumpslock";""
"7082";"STYRSERVOPUMP ELEKTRISK";"Styrservo Pump Elektrisk";""
"7083";"STYRVÄXEL/SNÄCKA ELEKTRISK";"Styrväxel/Snäcka Elektrisk";""
"7084";"NIVÅ/LUFTFJÄDRING TRYCKTANK";"Nivå / Luftfjädring Trycktank";""
"7085";"STYRNING ÖVRIGT";"Styrning Övrigt";""
"7088";"RATTAXEL VINKELVÄXEL";"Rattaxel Vinkelväxel";""
"7089";"RATTAXELAGG MED INB SERVO";"Rattaxelaggregat med inbyggd servo";""
"7099";"FRAMVAGN ÖVRIGT";"Övrigt Framvagn";""
"7100";"FJÄDER SATS";"Fjädersats";""
"7101";"FJÄDERBEN BAK VÄ";"Federbein";"Links"
"7102";"FJÄDERBEN BAK HÖ";"Federbein";"Recht"
"7103";"FJÄDERBEN BAK VÄ-HÖ";"Federbein";"Links Recht"
"7104";"FJÄDERBENSLAGER BAK";"Federbein lager";"Hinten"
"7105";"FJÄDER BAK";"Feder";"Hinten"
"7106";"FJÄDER BAK BLAD";"Blattfeder";"Hinten"
"7107";"BAKVAGN ANSLAGSGUMMI";"Anschlaggummi Heck";""
"7108";"MOMENTSTAG BAK";"Momentstag";"Hinten"
"7109";"FJÄDERSKÅL BAK";"Federschale";"Hinten"
"7110";"DRIVAXEL BAK VÄ-HÖ";"Getriebeachse";"hinten Links Recht"
"7111";"DRIVAXEL BAK VÄ";"Getriebeachse";"Hinten Links"
"7112";"DRIVAXEL BAK HÖ";"Getriebeachse";"Hinten Recht"
"7113";"DRIVKNUT BAK";"Getriebekopf";"Hinten"
"7114";"AXELTAPP FRAM/BAK";"Achselzapfen";""
"7115";"MEDBRINGARE BAK";"Medbringare";"Hinten"
"7116";"NAV BAK";"Nab";"Hinten"
